ID,targetMonth,targetYear,targetAmount,dealer_ID
fe43987e-e6d0-4ca7-9435-396c7a83299c,6,2026,2102383.24,6ee050d1-8498-4eda-9e45-2a3644227c14
614b27c3-a4ca-4389-ac9c-c4625a1f5da6,7,2026,1666199.72,6ee050d1-8498-4eda-9e45-2a3644227c14
09479837-4b87-426a-b727-6345c0fc2b18,8,2026,2272729.72,6ee050d1-8498-4eda-9e45-2a3644227c14
07255d59-fe2c-4ef9-8dd6-739cbf753b74,6,2026,2561425.57,1d977b43-69a5-411c-8d92-7be26cf2d766
bcc9e042-79f6-4f9e-81f9-80558dc6543a,7,2026,4266598.17,1d977b43-69a5-411c-8d92-7be26cf2d766
a914a5e3-f036-407e-bbe1-dc83031d9bca,8,2026,4091788.35,1d977b43-69a5-411c-8d92-7be26cf2d766
800553df-1971-4920-b002-88183064b8f0,6,2026,3324103.7,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
d31c7a18-7ae6-4b47-b6d3-c191ceb4ebdf,7,2026,1789449.74,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
cd6654e4-3001-4f96-b750-226c07bb051a,8,2026,2022405.22,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
504b595d-dc89-4c1a-a2a1-f9f391dd02a3,6,2026,2122737.96,9029a2f7-0b5f-47d9-b310-6e6a0575679f
f973fc4c-35ed-4a9c-8d27-4343ebebd673,7,2026,3811701.46,9029a2f7-0b5f-47d9-b310-6e6a0575679f
60f017f1-5d05-43fa-bc0b-5019e8204278,8,2026,4038376.26,9029a2f7-0b5f-47d9-b310-6e6a0575679f
97344976-c3f8-4a01-b99d-e16d89aa2c6c,6,2026,2057855.81,af5b77dd-7398-4fe0-9057-471c9d943e83
98ffb5ad-6178-4ed1-b65d-8ee171bc415b,7,2026,2363142.84,af5b77dd-7398-4fe0-9057-471c9d943e83
6b836316-cea4-4f7c-a297-8c974ec2f377,8,2026,1643032.94,af5b77dd-7398-4fe0-9057-471c9d943e83
a1fdfea6-ea4c-480e-8dd8-aecae53381f6,6,2026,3967101.35,62b2325b-6eeb-45e3-8a03-6ff8588f5296
487ed05d-1773-4cf2-bd7f-8746eddac0d7,7,2026,2742195.63,62b2325b-6eeb-45e3-8a03-6ff8588f5296
8bc8e601-5c42-4a81-88fd-856149133c9d,8,2026,1777992.93,62b2325b-6eeb-45e3-8a03-6ff8588f5296
