ID,dealer_ID,analyticsMonth,analyticsYear,totalPOCount,approvedPOCount,rejectedPOCount,deliveredPOCount,totalPurchaseValue,totalTaxAmount,averagePOValue,createdAt,createdBy,modifiedAt,modifiedBy
a1000001-0001-4000-8000-000000000001,6ee050d1-8498-4eda-9e45-2a3644227c14,9,2026,8,5,1,2,5800000.00,1044000.00,725000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0002-4000-8000-000000000002,1d977b43-69a5-411c-8d92-7be26cf2d766,9,2026,10,7,1,2,7250000.00,1305000.00,725000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0003-4000-8000-000000000003,e0c669d7-9d99-43ce-aecb-5f8cf845c22e,9,2026,12,8,2,2,8900000.00,1602000.00,741666.67,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0004-4000-8000-000000000004,9029a2f7-0b5f-47d9-b310-6e6a0575679f,9,2026,7,4,1,2,4920000.00,885600.00,702857.14,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0005-4000-8000-000000000005,af5b77dd-7398-4fe0-9057-471c9d943e83,9,2026,11,8,1,2,8120000.00,1461600.00,738181.82,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0006-4000-8000-000000000006,62b2325b-6eeb-45e3-8a03-6ff8588f5296,9,2026,9,6,1,2,6350000.00,1143000.00,705555.56,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0007-4000-8000-000000000007,43f3cd61-8168-4057-bae8-8d15266bd583,9,2026,14,10,1,3,10150000.00,1827000.00,725000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0008-4000-8000-000000000008,8c716521-1524-4dd8-a1e9-8e0a3622a80c,9,2026,8,5,1,2,5400000.00,972000.00,675000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0009-4000-8000-000000000009,6fe0d9f9-3bca-4a12-acca-4c914a133cbe,9,2026,13,9,1,3,9250000.00,1665000.00,711538.46,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0010-4000-8000-000000000010,b3e5c662-c4df-46ae-8a56-ec367c878dce,9,2026,15,11,1,3,10950000.00,1971000.00,730000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0011-4000-8000-000000000011,133ec1d1-2b3e-4b18-b552-2b17bf3b8b57,9,2026,10,7,1,2,6800000.00,1224000.00,680000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0012-4000-8000-000000000012,7545696f-12e4-4f10-9a21-dde3dc7c2728,9,2026,12,8,1,3,8450000.00,1521000.00,704166.67,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0013-4000-8000-000000000013,30953364-6d4d-4606-8c20-64bd6f802dcb,9,2026,7,4,2,1,3850000.00,693000.00,550000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0014-4000-8000-000000000014,5d6aa10b-9170-4cb9-9014-0b773f1d0fad,9,2026,5,2,1,1,2750000.00,495000.00,550000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
a1000001-0015-4000-8000-000000000015,e4acf6f0-2151-427a-aaa4-ec1744d45b0d,9,2026,3,1,1,1,1450000.00,261000.00,483333.33,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
