ID,product_ID,analyticsMonth,analyticsYear,averageBasePrice,averageDiscount,averageFinalPrice,totalDiscountAmount,priceChangeCount,createdAt,createdBy,modifiedAt,modifiedBy
c3000001-0001-4000-8000-000000000001,63e52d3f-d0dd-46bb-bfca-d2cd297b6f31,9,2026,725000.00,3.50,699625.00,812000.00,2,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0002-4000-8000-000000000002,05c899ea-fd39-4cb4-bf0d-c6d95480c1bc,9,2026,650000.00,4.00,624000.00,728000.00,2,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0003-4000-8000-000000000003,ffb5b8bd-90c4-4429-b70e-0ae6238eca9a,9,2026,680000.00,3.75,654500.00,637500.00,1,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0004-4000-8000-000000000004,e4bc5e3e-4e25-459d-b028-82f369b11178,9,2026,870000.00,5.00,826500.00,913500.00,3,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0005-4000-8000-000000000005,0724dbee-d98f-4700-9ea0-9f256ccc446f,9,2026,945000.00,4.50,902475.00,807975.00,2,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0006-4000-8000-000000000006,0c4444c2-24b6-4079-9cb2-b24f61f3f98e,9,2026,980000.00,5.25,928550.00,1234800.00,3,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0007-4000-8000-000000000007,93d7948a-b30e-4077-b374-287bcd6e998e,9,2026,12500.00,2.00,12250.00,36250.00,1,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0008-4000-8000-000000000008,c5ced698-26c0-4b6b-b504-2eb913a95377,9,2026,6200.00,3.00,6014.00,33480.00,2,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0009-4000-8000-000000000009,479451c3-c501-48d4-9ef9-ebf977ad93d4,9,2026,650.00,1.50,640.25,4095.00,1,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0010-4000-8000-000000000010,ef627b6f-54a0-4fb9-a16d-126452ff2807,9,2026,2400.00,2.50,2340.00,9900.00,1,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0011-4000-8000-000000000011,2bbff2f8-b41d-4cb4-a928-94f417067709,9,2026,118000.00,4.00,113280.00,84960.00,2,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
c3000001-0012-4000-8000-000000000012,977bb488-ef3f-4d9b-964f-15a98522c3a0,9,2026,145000.00,3.50,139925.00,76125.00,2,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
