ID,quantity,unitPrice,lineTotal,product_ID,purchaseOrder_ID
c5d6811e-54d7-4710-8a85-3444f9f67c2e,1,945000.0,945000.0,0724dbee-d98f-4700-9ea0-9f256ccc446f,4c05a118-f300-45b1-b02b-ba713ed19675
07212be2-b842-4b1d-8122-243db72f1168,4,6200.0,24800.0,c5ced698-26c0-4b6b-b504-2eb913a95377,4c05a118-f300-45b1-b02b-ba713ed19675
87357195-e1fa-4a36-a9a7-eaea368389a5,2,980000.0,1960000.0,0c4444c2-24b6-4079-9cb2-b24f61f3f98e,aac726e1-d813-456a-8464-0f2c92d9d4e6
ab8b640c-1c34-427d-a403-4091654ac8b4,9,118000.0,1062000.0,2bbff2f8-b41d-4cb4-a928-94f417067709,aac726e1-d813-456a-8464-0f2c92d9d4e6
eb9a10dc-e264-4349-806a-80ecf93d6559,1,945000.0,945000.0,0724dbee-d98f-4700-9ea0-9f256ccc446f,f4552deb-f3be-4429-a7c0-f580935e90f4
46c1bc29-a492-40bc-a1ae-374e312fa579,4,2400.0,9600.0,ef627b6f-54a0-4fb9-a16d-126452ff2807,f4552deb-f3be-4429-a7c0-f580935e90f4
3e83329a-9839-4f97-8292-fe8d5c5084d5,9,6200.0,55800.0,c5ced698-26c0-4b6b-b504-2eb913a95377,f4552deb-f3be-4429-a7c0-f580935e90f4
2b2360de-76ce-4c9e-98a5-ec3ffb3fe402,1,980000.0,980000.0,0c4444c2-24b6-4079-9cb2-b24f61f3f98e,50aa01fb-2023-48e9-ad8c-e4c48a2088f4
676ec9bd-4bf9-41bd-a60f-25da7999dd59,2,650.0,1300.0,479451c3-c501-48d4-9ef9-ebf977ad93d4,50aa01fb-2023-48e9-ad8c-e4c48a2088f4
db747fbf-2635-41a7-b097-49da36cefe92,6,2400.0,14400.0,ef627b6f-54a0-4fb9-a16d-126452ff2807,50aa01fb-2023-48e9-ad8c-e4c48a2088f4
16f713c5-62f8-420b-8a3a-e0ac156bca80,1,680000.0,680000.0,ffb5b8bd-90c4-4429-b70e-0ae6238eca9a,c05d347a-1653-4cb6-8048-7f602c5b9d43
8eb060c0-5d40-4fbb-8972-6a1a23d2a88c,9,118000.0,1062000.0,2bbff2f8-b41d-4cb4-a928-94f417067709,c05d347a-1653-4cb6-8048-7f602c5b9d43
2a9a23c8-ac84-4172-951b-b287efe3fa61,2,6200.0,12400.0,c5ced698-26c0-4b6b-b504-2eb913a95377,c05d347a-1653-4cb6-8048-7f602c5b9d43
c9615b1c-08f6-41c1-9ffb-87b9a5f4ad42,1,980000.0,980000.0,0c4444c2-24b6-4079-9cb2-b24f61f3f98e,275365bb-da6f-42d1-bc2e-1a5c3c1a1775
dc400101-fb4a-491f-842e-bdea2ab7f9e2,10,118000.0,1180000.0,2bbff2f8-b41d-4cb4-a928-94f417067709,275365bb-da6f-42d1-bc2e-1a5c3c1a1775
0d7e2a8c-27c2-42e0-9939-fcdd2850b1f2,4,6200.0,24800.0,c5ced698-26c0-4b6b-b504-2eb913a95377,275365bb-da6f-42d1-bc2e-1a5c3c1a1775
8a3ce4d6-8302-495d-97bf-2bb56843db5b,1,725000.0,725000.0,63e52d3f-d0dd-46bb-bfca-d2cd297b6f31,b2f4c42e-7e57-4d0e-95e8-f9412d51437e
4f927853-a348-4358-a4fd-81c1d56110db,3,145000.0,435000.0,977bb488-ef3f-4d9b-964f-15a98522c3a0,b2f4c42e-7e57-4d0e-95e8-f9412d51437e
2483e0b3-b11e-450f-a894-fddaee36b824,8,2400.0,19200.0,ef627b6f-54a0-4fb9-a16d-126452ff2807,b2f4c42e-7e57-4d0e-95e8-f9412d51437e
f8127550-dfa8-4990-abb5-482391c682c3,1,945000.0,945000.0,0724dbee-d98f-4700-9ea0-9f256ccc446f,9f983864-641f-44e3-ac14-ef320418bd02
cf68fd73-fc13-4aba-995e-00a91290016c,10,650.0,6500.0,479451c3-c501-48d4-9ef9-ebf977ad93d4,9f983864-641f-44e3-ac14-ef320418bd02
f753ce7a-9727-4345-b1a8-f21e3f99a48c,8,6200.0,49600.0,c5ced698-26c0-4b6b-b504-2eb913a95377,9f983864-641f-44e3-ac14-ef320418bd02
