ID,product_ID,warehouse_ID,availableQuantity,reservedQuantity,reorderLevel,status,lastStockUpdate,remarks,createdAt,createdBy,modifiedAt,modifiedBy
b2000001-0000-0000-0000-000000000001,10000001-0001-4001-8001-000000000001,a1000001-0000-0000-0000-000000000001,45,5,10,AVAILABLE,2024-03-15T09:00:00Z,Normal stock,2024-01-15T09:00:00Z,inventory.srv@tafe.com,2024-03-15T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000002,10000001-0001-4001-8001-000000000001,a1000001-0000-0000-0000-000000000002,20,3,10,AVAILABLE,2024-03-15T09:00:00Z,Normal stock,2024-01-15T09:00:00Z,inventory.srv@tafe.com,2024-03-15T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000003,10000001-0001-4001-8001-000000000001,a1000001-0000-0000-0000-000000000003,8,2,10,LOW_STOCK,2024-03-15T09:00:00Z,Reorder required,2024-01-15T09:00:00Z,inventory.srv@tafe.com,2024-03-15T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000004,10000001-0001-4001-8001-000000000001,a1000001-0000-0000-0000-000000000004,15,2,10,AVAILABLE,2024-03-15T09:00:00Z,Normal stock,2024-01-15T09:00:00Z,inventory.srv@tafe.com,2024-03-15T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000005,10000001-0001-4001-8001-000000000001,a1000001-0000-0000-0000-000000000005,6,1,10,LOW_STOCK,2024-03-15T09:00:00Z,Reorder required,2024-01-15T09:00:00Z,inventory.srv@tafe.com,2024-03-15T09:00:00Z,inventory.srv@tafe.com

b2000001-0000-0000-0000-000000000006,10000001-0001-4001-8001-000000000002,a1000001-0000-0000-0000-000000000001,35,5,10,AVAILABLE,2024-03-16T09:00:00Z,Normal stock,2024-01-16T09:00:00Z,inventory.srv@tafe.com,2024-03-16T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000007,10000001-0001-4001-8001-000000000002,a1000001-0000-0000-0000-000000000002,18,2,10,AVAILABLE,2024-03-16T09:00:00Z,Normal stock,2024-01-16T09:00:00Z,inventory.srv@tafe.com,2024-03-16T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000008,10000001-0001-4001-8001-000000000002,a1000001-0000-0000-0000-000000000003,6,2,10,LOW_STOCK,2024-03-16T09:00:00Z,Reorder required,2024-01-16T09:00:00Z,inventory.srv@tafe.com,2024-03-16T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000009,10000001-0001-4001-8001-000000000002,a1000001-0000-0000-0000-000000000004,12,2,10,AVAILABLE,2024-03-16T09:00:00Z,Normal stock,2024-01-16T09:00:00Z,inventory.srv@tafe.com,2024-03-16T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000010,10000001-0001-4001-8001-000000000002,a1000001-0000-0000-0000-000000000005,4,1,10,LOW_STOCK,2024-03-16T09:00:00Z,Reorder required,2024-01-16T09:00:00Z,inventory.srv@tafe.com,2024-03-16T09:00:00Z,inventory.srv@tafe.com

b2000001-0000-0000-0000-000000000011,10000001-0001-4001-8001-000000000003,a1000001-0000-0000-0000-000000000001,28,4,8,AVAILABLE,2024-03-17T09:00:00Z,Normal stock,2024-01-17T09:00:00Z,inventory.srv@tafe.com,2024-03-17T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000012,10000001-0001-4001-8001-000000000003,a1000001-0000-0000-0000-000000000002,15,3,8,AVAILABLE,2024-03-17T09:00:00Z,Normal stock,2024-01-17T09:00:00Z,inventory.srv@tafe.com,2024-03-17T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000013,10000001-0001-4001-8001-000000000003,a1000001-0000-0000-0000-000000000003,3,1,8,LOW_STOCK,2024-03-17T09:00:00Z,Reorder required,2024-01-17T09:00:00Z,inventory.srv@tafe.com,2024-03-17T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000014,10000001-0001-4001-8001-000000000003,a1000001-0000-0000-0000-000000000004,10,2,8,AVAILABLE,2024-03-17T09:00:00Z,Normal stock,2024-01-17T09:00:00Z,inventory.srv@tafe.com,2024-03-17T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000015,10000001-0001-4001-8001-000000000003,a1000001-0000-0000-0000-000000000005,0,0,8,OUT_OF_STOCK,2024-03-17T09:00:00Z,Stock unavailable,2024-01-17T09:00:00Z,inventory.srv@tafe.com,2024-03-17T09:00:00Z,inventory.srv@tafe.com

b2000001-0000-0000-0000-000000000016,10000001-0001-4001-8001-000000000004,a1000001-0000-0000-0000-000000000001,22,3,8,AVAILABLE,2024-03-18T09:00:00Z,Normal stock,2024-01-18T09:00:00Z,inventory.srv@tafe.com,2024-03-18T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000017,10000001-0001-4001-8001-000000000004,a1000001-0000-0000-0000-000000000002,12,2,8,AVAILABLE,2024-03-18T09:00:00Z,Normal stock,2024-01-18T09:00:00Z,inventory.srv@tafe.com,2024-03-18T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000018,10000001-0001-4001-8001-000000000004,a1000001-0000-0000-0000-000000000003,5,2,8,LOW_STOCK,2024-03-18T09:00:00Z,Reorder required,2024-01-18T09:00:00Z,inventory.srv@tafe.com,2024-03-18T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000019,10000001-0001-4001-8001-000000000004,a1000001-0000-0000-0000-000000000004,9,1,8,AVAILABLE,2024-03-18T09:00:00Z,Normal stock,2024-01-18T09:00:00Z,inventory.srv@tafe.com,2024-03-18T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000020,10000001-0001-4001-8001-000000000004,a1000001-0000-0000-0000-000000000005,3,1,8,LOW_STOCK,2024-03-18T09:00:00Z,Reorder required,2024-01-18T09:00:00Z,inventory.srv@tafe.com,2024-03-18T09:00:00Z,inventory.srv@tafe.com

b2000001-0000-0000-0000-000000000021,10000001-0001-4001-8001-000000000005,a1000001-0000-0000-0000-000000000001,16,4,8,AVAILABLE,2024-03-19T09:00:00Z,Normal stock,2024-01-19T09:00:00Z,inventory.srv@tafe.com,2024-03-19T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000022,10000001-0001-4001-8001-000000000005,a1000001-0000-0000-0000-000000000002,10,2,8,AVAILABLE,2024-03-19T09:00:00Z,Normal stock,2024-01-19T09:00:00Z,inventory.srv@tafe.com,2024-03-19T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000023,10000001-0001-4001-8001-000000000005,a1000001-0000-0000-0000-000000000003,4,1,8,LOW_STOCK,2024-03-19T09:00:00Z,Reorder required,2024-01-19T09:00:00Z,inventory.srv@tafe.com,2024-03-19T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000024,10000001-0001-4001-8001-000000000005,a1000001-0000-0000-0000-000000000004,8,1,8,AVAILABLE,2024-03-19T09:00:00Z,Normal stock,2024-01-19T09:00:00Z,inventory.srv@tafe.com,2024-03-19T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000025,10000001-0001-4001-8001-000000000005,a1000001-0000-0000-0000-000000000005,2,1,8,LOW_STOCK,2024-03-19T09:00:00Z,Reorder required,2024-03-19T09:00:00Z,inventory.srv@tafe.com,2024-03-19T09:00:00Z,inventory.srv@tafe.com

b2000001-0000-0000-0000-000000000026,10000001-0001-4001-8001-000000000006,a1000001-0000-0000-0000-000000000001,100,20,25,AVAILABLE,2024-03-20T09:00:00Z,Normal stock,2024-01-20T09:00:00Z,inventory.srv@tafe.com,2024-03-20T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000027,10000001-0001-4001-8001-000000000006,a1000001-0000-0000-0000-000000000002,55,10,25,AVAILABLE,2024-03-20T09:00:00Z,Normal stock,2024-01-20T09:00:00Z,inventory.srv@tafe.com,2024-03-20T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000028,10000001-0001-4001-8001-000000000006,a1000001-0000-0000-0000-000000000003,20,5,25,LOW_STOCK,2024-03-20T09:00:00Z,Reorder required,2024-01-20T09:00:00Z,inventory.srv@tafe.com,2024-03-20T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000029,10000001-0001-4001-8001-000000000006,a1000001-0000-0000-0000-000000000004,30,5,25,AVAILABLE,2024-03-20T09:00:00Z,Normal stock,2024-01-20T09:00:00Z,inventory.srv@tafe.com,2024-03-20T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000030,10000001-0001-4001-8001-000000000006,a1000001-0000-0000-0000-000000000005,8,2,25,LOW_STOCK,2024-03-20T09:00:00Z,Reorder required,2024-01-20T09:00:00Z,inventory.srv@tafe.com,2024-03-20T09:00:00Z,inventory.srv@tafe.com

b2000001-0000-0000-0000-000000000031,10000001-0001-4001-8001-000000000007,a1000001-0000-0000-0000-000000000001,75,10,20,AVAILABLE,2024-03-21T09:00:00Z,Normal stock,2024-01-21T09:00:00Z,inventory.srv@tafe.com,2024-03-21T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000032,10000001-0001-4001-8001-000000000007,a1000001-0000-0000-0000-000000000002,40,5,20,AVAILABLE,2024-03-21T09:00:00Z,Normal stock,2024-01-21T09:00:00Z,inventory.srv@tafe.com,2024-03-21T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000033,10000001-0001-4001-8001-000000000007,a1000001-0000-0000-0000-000000000003,12,2,20,LOW_STOCK,2024-03-21T09:00:00Z,Reorder required,2024-01-21T09:00:00Z,inventory.srv@tafe.com,2024-03-21T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000034,10000001-0001-4001-8001-000000000007,a1000001-0000-0000-0000-000000000004,25,5,20,AVAILABLE,2024-03-21T09:00:00Z,Normal stock,2024-01-21T09:00:00Z,inventory.srv@tafe.com,2024-03-21T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000035,10000001-0001-4001-8001-000000000007,a1000001-0000-0000-0000-000000000005,5,1,20,LOW_STOCK,2024-03-21T09:00:00Z,Reorder required,2024-01-21T09:00:00Z,inventory.srv@tafe.com,2024-03-21T09:00:00Z,inventory.srv@tafe.com

b2000001-0000-0000-0000-000000000036,10000001-0001-4001-8001-000000000008,a1000001-0000-0000-0000-000000000001,60,10,15,AVAILABLE,2024-03-22T09:00:00Z,Normal stock,2024-01-22T09:00:00Z,inventory.srv@tafe.com,2024-03-22T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000037,10000001-0001-4001-8001-000000000008,a1000001-0000-0000-0000-000000000002,30,5,15,AVAILABLE,2024-03-22T09:00:00Z,Normal stock,2024-01-22T09:00:00Z,inventory.srv@tafe.com,2024-03-22T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000038,10000001-0001-4001-8001-000000000008,a1000001-0000-0000-0000-000000000003,8,2,15,LOW_STOCK,2024-03-22T09:00:00Z,Reorder required,2024-01-22T09:00:00Z,inventory.srv@tafe.com,2024-03-22T09:00:00Z,inventory.srv@tafe.com
b2000001-0000-0000-0000-000000000039,10000001-0001-4001-8001-000000000008,a1000001-0000-0000-0000-000000000004,20,3,15,AVAILABLE,2024-03-22T09:00:00Z,Normal stock,2024-01-22T09:00:00Z,inventory.srv@tafe.com,2024-03-22T09:00:00Z,inventory.srv@tafe.com
