ID,basePrice,discount,tax,finalPrice,region_ID,validFrom,validTo,status,product_ID,createdAt,createdBy,modifiedAt,modifiedBy
d4a374e3-771a-4b34-ab16-55df7df3b0fb,725000,36250.0,123975.0,812725.0,517a7f4a-7c09-4ab0-a945-73440b63af14,2026-01-01,2026-12-31,ACTIVE,63e52d3f-d0dd-46bb-bfca-d2cd297b6f31,2025-01-01T08:00:00Z,onboarding.srv@tafe.com,2025-01-16T08:00:00Z,onboarding.srv@tafe.com
fbc03311-4836-4a9b-8ba7-d9af4fd988fc,725000,14500.0,127890.0,838390.0,87a4d580-4cb5-4896-b8fa-47560cb9266a,2026-01-01,2026-12-31,ACTIVE,63e52d3f-d0dd-46bb-bfca-d2cd297b6f31,2025-01-03T08:00:00Z,onboarding.srv@tafe.com,2025-01-18T08:00:00Z,onboarding.srv@tafe.com
dc4b30ad-ccd0-4138-9468-091fc5d6a368,650000,13000.0,114660.0,751660.0,67ff69c0-91f9-433b-9cc6-832d7af8e733,2026-01-01,2026-12-31,ACTIVE,05c899ea-fd39-4cb4-bf0d-c6d95480c1bc,2025-01-05T08:00:00Z,onboarding.srv@tafe.com,2025-01-20T08:00:00Z,onboarding.srv@tafe.com
64e54fdd-2ab1-49ca-8194-b7629392fb01,650000,32500.0,111150.0,728650.0,1590147b-b1be-4642-825a-eedd380ee037,2026-01-01,2026-12-31,ACTIVE,05c899ea-fd39-4cb4-bf0d-c6d95480c1bc,2025-01-07T08:00:00Z,onboarding.srv@tafe.com,2025-01-22T08:00:00Z,onboarding.srv@tafe.com
372c1481-6791-48d6-8f5c-a1bdde1cec70,680000,20400.0,118728.0,778328.0,08d201f2-1c8b-408d-8c47-e6ca8fbd004e,2026-01-01,2026-12-31,ACTIVE,ffb5b8bd-90c4-4429-b70e-0ae6238eca9a,2025-01-09T08:00:00Z,onboarding.srv@tafe.com,2025-01-24T08:00:00Z,onboarding.srv@tafe.com
bbe9e0dd-36f7-4884-9d5e-a768a406eb33,870000,17400.0,153468.0,1006068.0,517a7f4a-7c09-4ab0-a945-73440b63af14,2026-01-01,2026-12-31,ACTIVE,e4bc5e3e-4e25-459d-b028-82f369b11178,2025-01-11T08:00:00Z,onboarding.srv@tafe.com,2025-01-26T08:00:00Z,onboarding.srv@tafe.com
e2a5c394-df92-4e66-96ab-9967b995d930,870000,17400.0,153468.0,1006068.0,87a4d580-4cb5-4896-b8fa-47560cb9266a,2026-01-01,2026-12-31,ACTIVE,e4bc5e3e-4e25-459d-b028-82f369b11178,2025-01-13T08:00:00Z,onboarding.srv@tafe.com,2025-01-28T08:00:00Z,onboarding.srv@tafe.com
b6da5410-4075-45c3-98fc-94328b1c32ca,945000,18900.0,166698.0,1092798.0,67ff69c0-91f9-433b-9cc6-832d7af8e733,2026-01-01,2026-12-31,ACTIVE,0724dbee-d98f-4700-9ea0-9f256ccc446f,2025-01-15T08:00:00Z,onboarding.srv@tafe.com,2025-01-30T08:00:00Z,onboarding.srv@tafe.com
fad414a5-dd40-40df-a105-307da29ae0ec,945000,47250.0,161595.0,1059345.0,1590147b-b1be-4642-825a-eedd380ee037,2026-01-01,2026-12-31,ACTIVE,0724dbee-d98f-4700-9ea0-9f256ccc446f,2025-01-17T08:00:00Z,onboarding.srv@tafe.com,2025-02-01T08:00:00Z,onboarding.srv@tafe.com
74247d78-393d-45ed-a35c-a80c9e431e63,980000,19600.0,172872.0,1133272.0,08d201f2-1c8b-408d-8c47-e6ca8fbd004e,2026-01-01,2026-12-31,ACTIVE,0c4444c2-24b6-4079-9cb2-b24f61f3f98e,2025-01-19T08:00:00Z,onboarding.srv@tafe.com,2025-02-03T08:00:00Z,onboarding.srv@tafe.com
2b4a271a-2e8f-42ea-b991-7a32c206b6f6,12500,625.0,2137.5,14012.5,517a7f4a-7c09-4ab0-a945-73440b63af14,2026-01-01,2026-12-31,ACTIVE,93d7948a-b30e-4077-b374-287bcd6e998e,2025-01-21T08:00:00Z,onboarding.srv@tafe.com,2025-02-05T08:00:00Z,onboarding.srv@tafe.com
e5573215-13d2-4e97-a322-bd043cb597ec,12500,625.0,2137.5,14012.5,87a4d580-4cb5-4896-b8fa-47560cb9266a,2026-01-01,2026-12-31,ACTIVE,93d7948a-b30e-4077-b374-287bcd6e998e,2025-01-23T08:00:00Z,onboarding.srv@tafe.com,2025-02-07T08:00:00Z,onboarding.srv@tafe.com
62650d00-9e70-45eb-a2a8-7c4236cd657c,6200,310.0,1060.2,6950.2,67ff69c0-91f9-433b-9cc6-832d7af8e733,2026-01-01,2026-12-31,ACTIVE,c5ced698-26c0-4b6b-b504-2eb913a95377,2025-01-25T08:00:00Z,onboarding.srv@tafe.com,2025-02-09T08:00:00Z,onboarding.srv@tafe.com
40cc8a99-50b0-4d3a-b445-91770951833d,6200,124.0,1093.68,7169.68,1590147b-b1be-4642-825a-eedd380ee037,2026-01-01,2026-12-31,ACTIVE,c5ced698-26c0-4b6b-b504-2eb913a95377,2025-01-27T08:00:00Z,onboarding.srv@tafe.com,2025-02-11T08:00:00Z,onboarding.srv@tafe.com
cfa1d380-f7eb-4c3e-a6f7-a97cfb55b5d7,650,32.5,111.15,728.65,08d201f2-1c8b-408d-8c47-e6ca8fbd004e,2026-01-01,2026-12-31,ACTIVE,479451c3-c501-48d4-9ef9-ebf977ad93d4,2025-01-29T08:00:00Z,onboarding.srv@tafe.com,2025-02-13T08:00:00Z,onboarding.srv@tafe.com
af1bb811-b200-4ac3-a97d-d0887b74743b,2400,72.0,419.04,2747.04,517a7f4a-7c09-4ab0-a945-73440b63af14,2026-01-01,2026-12-31,ACTIVE,ef627b6f-54a0-4fb9-a16d-126452ff2807,2025-01-31T08:00:00Z,onboarding.srv@tafe.com,2025-02-15T08:00:00Z,onboarding.srv@tafe.com
739d7207-be21-432a-b4b8-3cdc2c8a749a,2400,48.0,423.36,2775.36,87a4d580-4cb5-4896-b8fa-47560cb9266a,2026-01-01,2026-12-31,ACTIVE,ef627b6f-54a0-4fb9-a16d-126452ff2807,2025-02-02T08:00:00Z,onboarding.srv@tafe.com,2025-02-17T08:00:00Z,onboarding.srv@tafe.com
8e0f08bd-1db1-4cbd-9c8b-7162949d7fb8,118000,2360.0,20815.2,136455.2,67ff69c0-91f9-433b-9cc6-832d7af8e733,2026-01-01,2026-12-31,ACTIVE,2bbff2f8-b41d-4cb4-a928-94f417067709,2025-02-04T08:00:00Z,onboarding.srv@tafe.com,2025-02-19T08:00:00Z,onboarding.srv@tafe.com
a9df4bc7-8cc3-483e-968d-57d5625c602c,118000,2360.0,20815.2,136455.2,1590147b-b1be-4642-825a-eedd380ee037,2026-01-01,2026-12-31,ACTIVE,2bbff2f8-b41d-4cb4-a928-94f417067709,2025-02-06T08:00:00Z,onboarding.srv@tafe.com,2025-02-21T08:00:00Z,onboarding.srv@tafe.com
43c0bba4-a636-44b3-a35d-0f5167b881c7,145000,2900.0,25578.0,167678.0,08d201f2-1c8b-408d-8c47-e6ca8fbd004e,2026-01-01,2026-12-31,ACTIVE,977bb488-ef3f-4d9b-964f-15a98522c3a0,2025-02-08T08:00:00Z,onboarding.srv@tafe.com,2025-02-23T08:00:00Z,onboarding.srv@tafe.com
