ID,achievementMonth,achievementYear,actualAmount,dealer_ID
685822c0-05cf-452b-845e-98374eb24e5e,6,2026,2194063.83,6ee050d1-8498-4eda-9e45-2a3644227c14
28ca4620-86c0-47d8-9fbb-7d93be24e9e8,7,2026,1259176.44,6ee050d1-8498-4eda-9e45-2a3644227c14
09ddd25d-80fa-4a78-b2fb-031096474cd5,8,2026,1936442.61,6ee050d1-8498-4eda-9e45-2a3644227c14
e1558c9c-db20-4fa5-8a8e-3fa43a34986a,6,2026,2555020.61,1d977b43-69a5-411c-8d92-7be26cf2d766
e0e0e5a0-ea55-4cd6-815c-439802fe088e,7,2026,3052595.14,1d977b43-69a5-411c-8d92-7be26cf2d766
760b48b4-27c1-4c3f-a9be-dd9033ccec34,8,2026,3886519.76,1d977b43-69a5-411c-8d92-7be26cf2d766
87589098-4900-42a4-94ac-a1a9085fafe5,6,2026,2839282.28,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
05b936c3-f62e-4f9d-a9e7-efffa0879f42,7,2026,1291680.66,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
019848b9-3e16-4032-b9b1-266a3f5c1171,8,2026,1494198.99,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
56b08fc8-0bed-4f7c-bcfd-2ae8b7f3feb0,6,2026,1975171.3,9029a2f7-0b5f-47d9-b310-6e6a0575679f
05dcfac5-b989-4e16-aff0-093c411a0d17,7,2026,3998409.28,9029a2f7-0b5f-47d9-b310-6e6a0575679f
8137a3d0-9340-4b3c-8fea-c53d3ffc2732,8,2026,2861620.21,9029a2f7-0b5f-47d9-b310-6e6a0575679f
7e8733e6-1862-4e18-b53b-ac09f73fcac3,6,2026,1412089.79,af5b77dd-7398-4fe0-9057-471c9d943e83
74da7bf0-0e22-4c83-b700-199979233ba8,7,2026,2228080.41,af5b77dd-7398-4fe0-9057-471c9d943e83
d8e968be-d499-40dc-bead-362ba24fbc86,8,2026,1245683.63,af5b77dd-7398-4fe0-9057-471c9d943e83
4aed7958-f570-4e58-8568-6399ae0c826d,6,2026,3370866.1,62b2325b-6eeb-45e3-8a03-6ff8588f5296
c6402fd1-04ee-47a9-8949-ea9fa45b905e,7,2026,2291072.4,62b2325b-6eeb-45e3-8a03-6ff8588f5296
f6e4d671-5681-41ea-9c83-b61082bfdf87,8,2026,1937628.57,62b2325b-6eeb-45e3-8a03-6ff8588f5296
