ID,documentType,fileName,mimeType,dealer_ID
d8970aaa-1260-4fd3-9b3f-8dd65309fb44,BANK_PASSBOOK,sri_bank_passbook.pdf,application/pdf,6ee050d1-8498-4eda-9e45-2a3644227c14
8b7939ed-e852-41e6-933c-9d1d08b2e70a,ADDRESS_PROOF,sri_address_proof.pdf,application/pdf,6ee050d1-8498-4eda-9e45-2a3644227c14
25ab8397-d381-4508-98f2-bdc0c66889c4,PAN_CARD,sri_pan_card.pdf,application/pdf,6ee050d1-8498-4eda-9e45-2a3644227c14
fa4552e1-0177-4824-928b-a50a80a69e98,DEALERSHIP_AGREEMENT,kaveri_dealership_agreement.pdf,application/pdf,1d977b43-69a5-411c-8d92-7be26cf2d766
994d57ca-d1e0-4f43-b1a6-660e2f99ae79,BANK_PASSBOOK,kaveri_bank_passbook.pdf,application/pdf,1d977b43-69a5-411c-8d92-7be26cf2d766
b0c83493-6845-48d4-bc06-60e9fa88d06a,ADDRESS_PROOF,kaveri_address_proof.pdf,application/pdf,1d977b43-69a5-411c-8d92-7be26cf2d766
efeac86f-ef20-48df-9299-d2609c653da1,GST_CERTIFICATE,godavari_gst_certificate.pdf,application/pdf,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
0f14c970-1a11-49d4-800d-8c0cc65dc924,ADDRESS_PROOF,godavari_address_proof.pdf,application/pdf,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
449f5750-6a7a-49cb-9266-a0c49ca669fc,DEALERSHIP_AGREEMENT,godavari_dealership_agreement.pdf,application/pdf,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
ca1d0eb5-81b1-4dfe-8940-5418148185c0,BANK_PASSBOOK,godavari_bank_passbook.pdf,application/pdf,e0c669d7-9d99-43ce-aecb-5f8cf845c22e
86e3dc42-7801-47a3-b77b-396b63dfa848,GST_CERTIFICATE,malwa_gst_certificate.pdf,application/pdf,9029a2f7-0b5f-47d9-b310-6e6a0575679f
965cda93-764c-4c48-b71b-68c26a89b138,ADDRESS_PROOF,malwa_address_proof.pdf,application/pdf,9029a2f7-0b5f-47d9-b310-6e6a0575679f
e410e41e-7e75-4708-8387-2c75d1f1dbd6,DEALERSHIP_AGREEMENT,malwa_dealership_agreement.pdf,application/pdf,9029a2f7-0b5f-47d9-b310-6e6a0575679f
8dafae50-2ead-4771-b855-769c78b24af9,BANK_PASSBOOK,malwa_bank_passbook.pdf,application/pdf,9029a2f7-0b5f-47d9-b310-6e6a0575679f
233196fe-da19-4cba-a200-5c757789f611,GST_CERTIFICATE,punjab_gst_certificate.pdf,application/pdf,af5b77dd-7398-4fe0-9057-471c9d943e83
b8a700ab-5252-4d2f-81b3-78d8916fcad1,PAN_CARD,punjab_pan_card.pdf,application/pdf,af5b77dd-7398-4fe0-9057-471c9d943e83
46a5cf2d-ade5-4fac-bd82-495a17267ea2,DEALERSHIP_AGREEMENT,punjab_dealership_agreement.pdf,application/pdf,af5b77dd-7398-4fe0-9057-471c9d943e83
d51aa405-d6ec-4516-948b-3e7222242599,BANK_PASSBOOK,punjab_bank_passbook.pdf,application/pdf,af5b77dd-7398-4fe0-9057-471c9d943e83
3db6147b-7b42-4035-80a8-94014c34ef6f,BANK_PASSBOOK,vidarbha_bank_passbook.pdf,application/pdf,62b2325b-6eeb-45e3-8a03-6ff8588f5296
0d6739d1-fccf-4226-bfa0-8583cef437fb,GST_CERTIFICATE,vidarbha_gst_certificate.pdf,application/pdf,62b2325b-6eeb-45e3-8a03-6ff8588f5296
e39a47a7-2a83-4f68-b6fe-4caabfb7bf22,PAN_CARD,vidarbha_pan_card.pdf,application/pdf,62b2325b-6eeb-45e3-8a03-6ff8588f5296
dd8c2836-7440-4900-a10a-6f016a4eedb1,ADDRESS_PROOF,ganga_address_proof.pdf,application/pdf,43f3cd61-8168-4057-bae8-8d15266bd583
72940e6b-39c3-4836-b1eb-21050356f9a9,PAN_CARD,ganga_pan_card.pdf,application/pdf,43f3cd61-8168-4057-bae8-8d15266bd583
0948e318-8d87-47bf-97b3-f65978ae3041,GST_CERTIFICATE,ganga_gst_certificate.pdf,application/pdf,43f3cd61-8168-4057-bae8-8d15266bd583
fc894d4c-f3e8-43f5-86ff-1c25ff54ae6b,DEALERSHIP_AGREEMENT,ganga_dealership_agreement.pdf,application/pdf,43f3cd61-8168-4057-bae8-8d15266bd583
9382d67c-0793-46c7-8678-4119ad87c0e9,PAN_CARD,nilgiris_pan_card.pdf,application/pdf,8c716521-1524-4dd8-a1e9-8e0a3622a80c
b2983112-b06e-4f4b-b74f-0bf3714dc9a4,ADDRESS_PROOF,nilgiris_address_proof.pdf,application/pdf,8c716521-1524-4dd8-a1e9-8e0a3622a80c
c967a9c5-5219-44ef-89bc-bba6759909b2,GST_CERTIFICATE,nilgiris_gst_certificate.pdf,application/pdf,8c716521-1524-4dd8-a1e9-8e0a3622a80c
00600262-768f-4261-812c-0a3cdf32cadd,PAN_CARD,saurashtra_pan_card.pdf,application/pdf,6fe0d9f9-3bca-4a12-acca-4c914a133cbe
7419d8ab-ddef-4021-9ec6-8a6bc0a04b9f,ADDRESS_PROOF,saurashtra_address_proof.pdf,application/pdf,6fe0d9f9-3bca-4a12-acca-4c914a133cbe
